date,n,daily_acc,rolling_acc,rolling_f1
2025-02-20,25,0.48,,0.4675020885547201
2025-02-21,25,0.4,,0.43937621832358675
2025-02-24,25,0.24,,0.3757575757575758
2025-02-25,25,0.4,,0.38137472283813745
2025-02-27,25,0.28,0.36,0.3623513181220335
2025-02-28,25,0.48,0.38000000000000006,0.3778273082396794
2025-03-03,25,0.32,0.37142857142857144,0.3710952149454823
2025-03-04,25,0.36,0.37,0.36738609112709836
2025-03-05,25,0.32,0.36444444444444446,0.36028168097840224
2025-03-06,25,0.4,0.368,0.36295826172529616
2025-03-07,25,0.32,0.36363636363636365,0.35970620132110814
2025-03-10,25,0.4,0.3666666666666667,0.36037960102303573
2025-03-11,25,0.24,0.3569230769230769,0.3505869514019498
2025-03-12,25,0.52,0.3685714285714286,0.359271879274222
2025-03-13,25,0.36,0.36800000000000005,0.35975214140544093
2025-03-17,25,0.4,0.37,0.3675828445727866
2025-03-18,25,0.72,0.3905882352941177,0.3906751998355052
2025-03-19,25,0.32,0.38666666666666666,0.38614064274184695
2025-03-20,25,0.28,0.38105263157894737,0.37977332348521503
2025-03-21,25,0.36,0.38,0.3786621069229765
2025-03-24,25,0.48,0.38476190476190475,0.38273507690182945
2025-03-25,25,0.4,0.38095238095238093,0.38242743415780495
2025-03-26,25,0.56,0.38857142857142857,0.3887084216390191
2025-03-27,25,0.28,0.3904761904761904,0.3839129513230431
2025-03-28,25,0.08,0.37523809523809526,0.372067784437126
2025-04-01,25,0.24,0.37333333333333335,0.36701759477756823
2025-04-02,25,0.4,0.36952380952380953,0.36790625054086346
2025-04-03,25,0.32,0.36952380952380953,0.3630367447994325
2025-04-04,25,0.64,0.3828571428571429,0.3740357518449699
2025-04-07,25,0.76,0.40380952380952384,0.3940153391578165
2025-04-08,25,0.44,0.4057142857142857,0.3938239047775038
2025-04-09,25,0.48,0.41333333333333333,0.3958440526653593
2025-04-11,25,0.32,0.40952380952380957,0.395342754758689
2025-04-15,25,0.4,0.4171428571428572,0.39955100854643777
2025-04-16,25,0.44,0.4133333333333334,0.40382587056161795
2025-04-17,25,0.68,0.42857142857142855,0.4145329069094003
2025-04-21,25,0.28,0.4228571428571428,0.4138767468343345
2025-04-22,25,0.44,0.40952380952380957,0.42158952613732065
2025-04-23,25,0.24,0.4057142857142858,0.4115579899593815
2025-04-24,25,0.4,0.4114285714285715,0.4109207610669599
2025-04-25,25,0.28,0.40761904761904766,0.40477102946341836
2025-04-28,25,0.28,0.39809523809523806,0.3964465796737355
2025-04-29,25,0.4,0.39809523809523806,0.37340873647628015
2025-04-30,25,0.56,0.39809523809523817,0.3749345044171793
2025-05-02,25,0.24,0.3961904761904762,0.3651593497011279
2025-05-05,25,0.4,0.4114285714285715,0.36411777719768107
2025-05-06,25,0.52,0.42476190476190484,0.36646574155020556
2025-05-07,25,0.48,0.42857142857142855,0.36629262892077646
2025-05-08,25,0.4,0.43238095238095237,0.37041194693203866
2025-05-09,25,0.36,0.419047619047619,0.37940319431002667
2025-05-12,25,0.44,0.40380952380952384,0.3803324197062337
2025-05-13,25,0.36,0.4,0.38775747424502377
2025-05-14,25,0.16,0.38476190476190475,0.3740785083197535
2025-05-15,25,0.08,0.37333333333333335,0.36526164346403966
2025-05-16,25,0.56,0.38095238095238093,0.3801386315397832
2025-05-19,25,0.44,0.38095238095238093,0.37549236899657923
2025-05-20,25,0.4,0.3676190476190476,0.3759828994009878
2025-05-21,25,0.48,0.3771428571428571,0.3786034838666417
2025-05-22,25,0.4,0.37523809523809526,0.3803809908176217
2025-05-23,25,0.48,0.3866666666666667,0.38966041061431617
2025-05-26,25,0.12,0.37333333333333335,0.38044408005570346
2025-05-27,25,0.28,0.37333333333333335,0.3768983619556628
2025-05-28,25,0.68,0.3923809523809524,0.38607064851594375
2025-05-29,25,0.32,0.38857142857142857,0.37242391582857176
2025-05-30,25,0.4,0.38095238095238093,0.3726938515819307
2025-06-02,25,0.56,0.3961904761904762,0.3804952082432627
2025-06-03,25,0.48,0.4,0.3805151965483986
2025-06-04,25,0.64,0.4057142857142857,0.3912407484225924
2025-06-05,25,0.56,0.4095238095238095,0.38763105550278826
2025-06-06,25,0.88,0.43238095238095237,0.39881780788024984
2025-06-09,25,0.68,0.44761904761904764,0.40560632350106035
2025-06-10,25,0.72,0.460952380952381,0.40705385765266006
2025-06-11,25,0.16,0.45142857142857135,0.3831270739962129
2025-06-12,25,0.4,0.4628571428571429,0.38212497363052417
2025-06-13,25,0.44,0.4800000000000001,0.38751677546629665
2025-06-16,25,0.84,0.4933333333333334,0.3926564095982202
2025-06-17,25,0.52,0.4971428571428572,0.3831339045504978
2025-06-18,25,0.88,0.52,0.38212589061395424
2025-06-19,25,0.56,0.5238095238095238,0.3754691605244766
2025-06-20,25,0.76,0.540952380952381,0.370416047525502
2025-06-23,25,0.12,0.5238095238095238,0.3461550823703477
2025-06-24,25,0.68,0.5504761904761905,0.3447043080266618
2025-06-25,25,0.56,0.5638095238095239,0.34915475194504403
2025-06-26,25,0.52,0.5561904761904761,0.3589937605891891
2025-06-27,25,0.6,0.5695238095238095,0.35825396825396827
2025-06-30,25,0.56,0.5771428571428572,0.35634076325565683
2025-07-01,25,0.48,0.5733333333333334,0.3481277034524119
2025-07-02,25,0.76,0.5866666666666667,0.3491407623865937
2025-07-03,25,0.68,0.5885714285714286,0.33457398989123327
2025-07-04,25,0.8,0.6000000000000001,0.3397606690440634
2025-07-07,25,0.8,0.5961904761904762,0.3509865690204828
2025-07-08,25,0.6,0.5923809523809523,0.3475158408779564
2025-07-09,25,0.6,0.5866666666666667,0.3433758076621509
2025-07-10,25,0.52,0.6038095238095239,0.3461995576998456
2025-07-11,25,0.68,0.6171428571428572,0.35929189195571826
2025-07-14,25,0.64,0.6266666666666667,0.3408420458326192
2025-07-15,25,0.64,0.6171428571428571,0.3377534907211977
2025-07-16,25,0.76,0.6285714285714286,0.3397383109629755
2025-07-17,25,0.64,0.6171428571428572,0.3412381904943387
2025-07-18,25,0.64,0.620952380952381,0.34198045428365714
